site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
CZ-Stn,49.035975,17.9699,564,DBF,Dfb,685,FLUXNET,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor_depth2
DE-Obe,50.78666,13.72129,743,ENF,Dfb,996,FLUXNET,NO,2018,,,,,,,,,,a few gaps bias TS-ER relationships,,,YES,,,TS_measured,,,sensor
DE-RuR,50.6219,6.3041,514.7,GRA,Cfb,1033,FLUXNET+ICOS,NO,,,,,,,,,,,,,,YES,,,TS_measured,,,sensor
CH-Aws,46.583194,9.790417,1942,GRA,Dfc,918,FLUXNET,NO,"2008, 2009",,,,,,,,,,"2006-2010:first few year measurements, only measured for few months, abnormal TA and TS measurements",121,,YES,,,TS_measured,,,sensor
ES-LJu,36.926594,-2.752115,1613,OSH,Csb,400,FLUXNET,NO,2006,,,,,,,,,,"2006: first year measurement, abnormal TS-ER curves",,270,YES,,,TS_measured,,,sensor
FR-FBn,43.24079,5.67865,433,MF,Csa,700,FLUXNET+ICOS,YES,,,,,,,,,,,,,,NO,,linear regression,TS_measured,,,reconstructed
FR-Fon,48.476358,2.780096,104,DBF,Cfb,720,WW2020+FLUXNET+ICOS,YES,,,,,,,,,,,,,,NO,,,TS_measured,,,reconstructed
GF-Guy,5.2788,-52.9249,48,EBF,Am,3041,WW2020+FLUXNET+ICOS,NO,,,,,,,,,,,,1,365,YES,,,TS_measured,,,ta_substitute
IL-Yat,31.345045,35.051989,652,ENF,Csa,285,FLUXNET,NO,2009,,,,,,,,,,2009: too few observations although no large gaps; pattern of that year is not right,1,150,NO,,,TS_measured,,,sensor
SE-Deg,64.182,19.5565,270,GRA,Dfc,523,WW2020+FLUXNET+ICOS,NO,2003,,,,,,,,,,"2003: only half-year measurement; if use SWC, data only start from 2014 and 2003 will be ignored",,,YES,,,TS_measured,,,sensor
IT-SR2,43.732022,10.29091,13,ENF,Csa,920,FLUXNET+ICOS,NO,,,,,,,,,,,,,270,YES,,,TS_measured,,,sensor
CH-Dav,46.8153,9.8559,1639,ENF,Dfc,1062,FLUXNET+ICOS,YES,,,,,,,,,,,"it has SWC data after 2007, but seems abnormal",,,NO,,,TS_measured,,,reconstructed
DE-Akm,53.8662,13.6834,-1,WET,Cfb,558,FLUXNET,YES,,,,,,,,,,,,,,NO,NETRAD,NETRAD,TS_measured,,,reconstructed
